MJD,m,dm,F,source_name,RA,DEC
57856.603721,18.934,5.073,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57856.610586,18.581,3.227,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57856.619242,19.311,7.932,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57856.626695,18.494,7.27,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57859.557306,18.222,5.798,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57859.56938,19.271,8.432,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57859.578511,20.158,15.491,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57859.587754,20.055,6.0,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57859.604306,18.173,3.202,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57860.551946,19.874,21.014,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57860.569367,19.691,9.471,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57860.584821,17.827,4.053,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57860.601724,20.598,26.719,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57879.504599,20.584,15.356,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57879.523333,20.924,14.101,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57879.531836,19.572,2.654,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57879.551767,22.68,302.067,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57880.533391,20.031,1.325,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57880.554013,18.151,2.866,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57883.497588,19.466,6.743,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57883.520615,20.436,1.553,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57883.529947,20.977,2.62,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57884.497187,22.912,348.455,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57884.536286,21.241,17.175,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57885.448218,19.141,1.661,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57885.493837,16.761,0.649,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57887.512024,21.796,59.763,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57887.522931,20.441,24.053,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57891.451172,19.784,30.437,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57891.478452,21.453,106.135,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57891.497025,17.714,2.895,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57891.498015,18.887,11.053,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57891.506447,17.712,3.844,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57892.46096,19.962,5.013,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57892.507701,19.916,18.386,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57896.48457,23.759,1289.0,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57899.435499,18.313,0.415,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57899.448245,17.705,0.367,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57899.470107,17.139,3.129,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57899.491481,17.256,2.438,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57900.433008,17.296,1.534,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57900.449884,17.901,0.137,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57900.472819,17.374,0.525,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57900.484922,16.137,0.037,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57903.425821,17.161,0.634,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57903.444039,17.714,0.427,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57903.461965,16.85,0.08,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57903.470815,16.635,0.14,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57904.417627,16.195,0.179,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57904.452969,18.761,8.554,o,152942.19+350851.3,232.4258318203353,35.14758608779926
