tid,mjd,magpsf_corr,sigmapsf,fid,source_name
ztf,59639.406967599876,17.267467,0.07144675,1,152942.19+350851.3
ztf,59639.48964119982,17.138262,0.056303624,2,152942.19+350851.3
ztf,59641.44802080002,17.139952,0.054799393,2,152942.19+350851.3
ztf,59641.46733799996,17.24689,0.045457155,1,152942.19+350851.3
ztf,59673.34905089997,17.274534,0.053551998,1,152942.19+350851.3
ztf,59673.34905089997,17.24598,0.053793,1,152942.19+350851.3
ztf,59673.37181709986,17.138788,0.054620247,2,152942.19+350851.3
ztf,59673.37181709986,17.120636,0.054791,2,152942.19+350851.3
ztf,59675.39145829994,17.22949,0.06362068,1,152942.19+350851.3
ztf,59675.41494210018,17.1083,0.043905538,2,152942.19+350851.3
ztf,59677.404942099936,17.124796,0.060415447,2,152942.19+350851.3
ztf,59683.302789399866,17.265007,0.059678707,1,152942.19+350851.3
ztf,59683.38879630016,17.134481,0.07555114,2,152942.19+350851.3
ztf,59685.34885419998,17.105982,0.069069386,2,152942.19+350851.3
ztf,59685.391921299975,17.208506,0.0712015,1,152942.19+350851.3
ztf,59688.40136570018,17.238089,0.07196666,1,152942.19+350851.3
ztf,59693.32057869993,17.10989,0.051370937,2,152942.19+350851.3
ztf,59693.4307407001,17.231531,0.05578698,1,152942.19+350851.3
ztf,59697.43201390002,17.205557,0.049214866,1,152942.19+350851.3
ztf,59700.309756900184,17.104805,0.051546827,2,152942.19+350851.3
ztf,59700.34920139983,17.22048,0.05145237,1,152942.19+350851.3
ztf,59709.40444440022,17.116117,0.055101242,2,152942.19+350851.3
ztf,59711.343356499914,17.113638,0.070087224,2,152942.19+350851.3
ztf,59711.41189809982,17.197546,0.06405193,1,152942.19+350851.3
ztf,59713.30728009995,17.114578,0.05927092,2,152942.19+350851.3
ztf,59713.457314800005,17.215979,0.06560501,1,152942.19+350851.3
ztf,59715.28414350003,17.222939,0.07391611,1,152942.19+350851.3
ztf,59723.30795140006,17.100542,0.07860551,2,152942.19+350851.3
ztf,59723.36111109983,17.207874,0.05717275,1,152942.19+350851.3
ztf,59727.26099540014,17.094501,0.08288288,2,152942.19+350851.3
ztf,59727.3541203998,17.202301,0.06685,1,152942.19+350851.3
ztf,59730.28819439979,17.08988,0.07178868,2,152942.19+350851.3
ztf,59730.37174770003,17.186958,0.059214,1,152942.19+350851.3
ztf,59732.22487269994,17.060741,0.06275148,2,152942.19+350851.3
ztf,59732.28725690022,17.153978,0.054789152,1,152942.19+350851.3
ztf,59734.256169000175,17.067259,0.08775995,2,152942.19+350851.3
ztf,59734.326747700106,17.154463,0.04083226,1,152942.19+350851.3
ztf,59736.305358800106,17.137545,0.04925,1,152942.19+350851.3
ztf,59736.340625000186,17.067577,0.048488222,2,152942.19+350851.3
ztf,59738.27759259986,17.063545,0.059793912,2,152942.19+350851.3
ztf,59738.383807899896,17.138338,0.048724417,1,152942.19+350851.3
ztf,59740.32324070018,17.05921,0.04844213,2,152942.19+350851.3
ztf,59742.27975689992,17.069748,0.059457153,2,152942.19+350851.3
ztf,59749.27856480004,17.138388,0.053556163,1,152942.19+350851.3
ztf,59749.3229398001,17.024117,0.062475793,2,152942.19+350851.3
ztf,59751.27765050018,17.03191,0.049498696,2,152942.19+350851.3
ztf,59751.342754600104,17.151308,0.062344424,1,152942.19+350851.3
